iter	Logloss
0	0.6674895196
1	0.646853404
2	0.6287603922
3	0.6147538185
4	0.6003000072
5	0.5874548585
6	0.5761400976
7	0.5642370486
8	0.555981936
9	0.5461471616
10	0.5387159241
11	0.5311303996
12	0.5257602673
13	0.5190595288
14	0.5141269284
15	0.5093217774
16	0.5053450519
17	0.5018946675
18	0.4984854181
19	0.4943161135
20	0.4908677681
21	0.4875153516
22	0.4849996821
23	0.4823045539
24	0.4793224759
25	0.4766408992
26	0.4744769443
27	0.4724611845
28	0.4708775858
29	0.4691987294
30	0.4672368685
31	0.4657583076
32	0.4641050622
33	0.4627990391
34	0.4619551145
35	0.4609811214
36	0.4598172181
37	0.4586096437
38	0.4575451753
39	0.4566847653
40	0.45584341
41	0.4549533278
42	0.4537468226
43	0.4529658809
44	0.4521464732
45	0.4514350705
46	0.4505238862
47	0.4496620423
48	0.4489737805
49	0.4483814892
50	0.4473633194
51	0.4464949608
52	0.4458634409
53	0.4450614221
54	0.4445481598
55	0.4439183722
56	0.4431906746
57	0.4423868655
58	0.4414739904
59	0.4408021395
60	0.4401098331
61	0.4394995561
62	0.4389754859
63	0.4384756508
64	0.4379107855
65	0.4372291544
66	0.4364364351
67	0.4358484205
68	0.4353427587
69	0.4347379768
70	0.4342293229
71	0.4335013021
72	0.4331290904
73	0.4325710133
74	0.4319478977
75	0.4315669916
76	0.431032876
77	0.430664593
78	0.4302367915
79	0.429683878
80	0.4294681912
81	0.4289302463
82	0.4286091155
83	0.4281942439
84	0.4277715647
85	0.4271577486
86	0.4266604497
87	0.4262904261
88	0.4258482196
89	0.4253932242
90	0.4250051487
91	0.4244088624
92	0.4241865118
93	0.4238276774
94	0.4233634157
95	0.4228854534
96	0.4223695141
97	0.4217141072
98	0.4212936741
99	0.4208079125
100	0.4204008816
101	0.4200581349
102	0.4194983172
103	0.4189003815
104	0.4184663059
105	0.4181554112
106	0.4176336783
107	0.4171541743
108	0.4168783889
109	0.4165698315
110	0.4161277328
111	0.4156387304
112	0.4153924763
113	0.4147816523
114	0.4144966171
115	0.4140727444
116	0.4138361461
117	0.4134960268
118	0.4130849097
119	0.4126605811
120	0.4123675063
121	0.4120407146
122	0.4116717188
123	0.4113207501
124	0.4110131292
125	0.4106996403
126	0.4103767689
127	0.4099014755
128	0.4095957444
129	0.4092561638
130	0.4090727931
131	0.4086877014
132	0.4084566314
133	0.4081974309
134	0.4078719819
135	0.4076044931
136	0.4072509136
137	0.4069453897
138	0.4065285454
139	0.4063690285
140	0.4061011087
141	0.4057872965
142	0.405468072
143	0.405133423
144	0.4047678751
145	0.4044266866
146	0.4040744083
147	0.4037912712
148	0.4034066022
149	0.4030543736
150	0.402720744
151	0.4022791923
152	0.4020447324
153	0.4017289062
154	0.4014183513
155	0.4011660549
156	0.4006976076
157	0.4005097612
158	0.4002129069
159	0.3997895481
160	0.3994285836
161	0.3991118788
162	0.3989064197
163	0.3986349691
164	0.3982836108
165	0.3979823803
166	0.3978378155
167	0.3976361774
168	0.397430594
169	0.3971667354
170	0.3968731633
171	0.3966143441
172	0.3964098382
173	0.3960924288
174	0.3958826599
175	0.3956592649
176	0.3954636772
177	0.395185397
178	0.3947171984
179	0.3943560101
180	0.3939320628
181	0.3936196347
182	0.3932218951
183	0.3929598517
184	0.3927650182
185	0.392528047
186	0.3923188333
187	0.3919799241
188	0.3917441961
189	0.3915957192
190	0.3913933932
191	0.3911684151
192	0.3908008781
193	0.3905435093
194	0.3904008591
195	0.3901049165
196	0.3899303231
197	0.3896455946
198	0.3894483658
199	0.3892217882
200	0.3888930653
201	0.3887073158
202	0.3885082802
203	0.3882446372
204	0.3880076494
205	0.387787636
206	0.3874741222
207	0.3870810074
208	0.3869389623
209	0.3866871052
210	0.3863685438
211	0.3861733125
212	0.3859220605
213	0.3857450387
214	0.3855061528
215	0.3852811665
216	0.3850163051
217	0.3847991015
218	0.3845021477
219	0.384272379
220	0.3840652955
221	0.3837667006
222	0.3833499807
223	0.3830960101
224	0.3828951511
225	0.3826343012
226	0.3823267881
227	0.3820606006
228	0.3818032567
229	0.3815662108
230	0.3813355056
231	0.3811419485
232	0.3809255489
233	0.3806166102
234	0.3803700577
235	0.3800558891
236	0.3797724867
237	0.3794774641
238	0.3792875788
239	0.3789886524
240	0.3786665934
241	0.3784304012
242	0.3780763658
243	0.3778833144
244	0.3776144829
245	0.3772854616
246	0.3770703301
247	0.3768291401
248	0.3765571922
249	0.3762323233
250	0.3758691542
251	0.3756634134
252	0.3754592639
253	0.3752164742
254	0.3750820295
255	0.374785258
256	0.3746022686
257	0.3743126749
258	0.3740768391
259	0.3738950432
260	0.3735439999
261	0.3733172896
262	0.3730461291
263	0.3728745526
264	0.3726407144
265	0.3722756804
266	0.371993944
267	0.3717151333
268	0.3714641382
269	0.371335545
270	0.3710761373
271	0.3709126337
272	0.3707087163
273	0.3705069787
274	0.3702892115
275	0.370082045
276	0.3698935522
277	0.3697394144
278	0.369433733
279	0.369211689
280	0.3689762345
281	0.3688314045
282	0.3685618436
283	0.368417428
284	0.3681477925
285	0.3679421428
286	0.367692275
287	0.3674782127
