iter	Passed	Remaining
409	4588	6603
410	4599	6591
411	4610	6580
412	4621	6569
413	4632	6556
414	4642	6544
415	4655	6535
416	4665	6523
417	4678	6513
418	4688	6500
419	4701	6491
420	4713	6482
421	4723	6470
422	4734	6458
423	4744	6445
424	4756	6435
425	4767	6423
426	4779	6413
427	4788	6399
428	4799	6388
429	4810	6376
430	4823	6368
431	4835	6357
432	4845	6345
433	4855	6332
434	4865	6319
435	4875	6306
436	4886	6294
437	4897	6283
438	4906	6270
439	4919	6260
440	4927	6246
441	4939	6235
442	4949	6223
443	4961	6213
444	4973	6202
445	4982	6188
446	4994	6178
447	5005	6167
448	5015	6155
449	5026	6142
450	5037	6131
451	5047	6119
452	5059	6108
453	5071	6099
454	5086	6092
455	5097	6080
456	5107	6068
457	5117	6056
458	5128	6044
459	5138	6032
460	5150	6021
461	5162	6011
462	5174	6001
463	5185	5989
464	5195	5978
465	5206	5966
466	5218	5955
467	5230	5945
468	5239	5932
469	5250	5921
470	5261	5908
471	5272	5897
472	5282	5885
473	5293	5874
474	5303	5862
475	5314	5850
476	5332	5846
477	5351	5843
478	5364	5834
479	5375	5822
480	5386	5811
481	5395	5798
482	5408	5788
483	5419	5778
484	5430	5766
485	5441	5755
486	5452	5743
487	5462	5731
488	5473	5719
489	5484	5708
490	5494	5696
491	5505	5684
492	5516	5673
493	5525	5659
494	5536	5647
495	5548	5637
496	5557	5624
497	5567	5612
498	5582	5604
499	5593	5593
500	5604	5582
501	5614	5569
502	5625	5558
503	5635	5546
504	5646	5534
505	5658	5523
506	5668	5512
507	5681	5502
508	5692	5491
509	5708	5484
510	5723	5477
511	5736	5467
512	5750	5459
513	5763	5449
514	5776	5440
515	5787	5428
516	5799	5418
517	5811	5407
518	5822	5396
519	5833	5385
520	5845	5373
521	5855	5362
522	5865	5349
523	5876	5337
524	5887	5326
525	5896	5314
526	5908	5302
527	5919	5291
528	5929	5279
529	5940	5268
530	5951	5256
531	5962	5244
532	5973	5233
533	5982	5221
534	5993	5209
535	6003	5197
536	6013	5184
537	6025	5174
538	6034	5161
539	6045	5149
540	6056	5138
541	6067	5126
542	6083	5119
543	6094	5108
544	6104	5096
545	6115	5085
546	6125	5073
547	6136	5061
548	6146	5049
549	6156	5037
550	6167	5025
551	6180	5015
552	6192	5005
553	6203	4993
554	6214	4982
555	6225	4971
556	6236	4960
557	6246	4947
558	6257	4936
559	6267	4924
560	6276	4911
561	6286	4899
562	6296	4887
563	6307	4875
564	6318	4864
565	6329	4853
566	6351	4850
567	6366	4842
568	6378	4831
569	6388	4819
570	6399	4807
571	6410	4796
572	6434	4794
573	6455	4790
574	6464	4778
575	6475	4766
576	6486	4755
577	6502	4747
578	6515	4737
579	6534	4731
580	6554	4727
581	6567	4716
582	6578	4705
583	6591	4695
584	6601	4683
